"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","Canada","CAN",0.046634438484897005,0.03266504256490233,0.06344869923366417,0.08786750714336058,0.07087786045331779,0.10675300090304626,0.10057699549042703,0.08230091624922763,0.12013712646052493,0.5327149859411798,0.4996071027894039,0.5654660525021795,0.2322060709401356,0.20281415651241566,0.2619951333637952,0.0643685224679562,0.04943630904123265,0.081987089006152,0.016425090359651198,0.010810504631681352,0.023466973889143598,0.0070738943157531865,0.003709873765581601,0.011824951797297836
1981,"Women","Canada","CAN",0.04529602623369881,0.03266034953948177,0.06035341605530332,0.09275210913629028,0.07647752334579845,0.1103995866781945,0.09812043610661482,0.08156249920058896,0.11568133093437794,0.527990413304218,0.498136887752725,0.5579734295179632,0.23584101321917803,0.20871282809143404,0.2631005535408398,0.06758765217620023,0.05338072988202328,0.08419401235936162,0.017523882764064264,0.012033221032619066,0.024367475833593565,0.007640574196025793,0.004239887303727535,0.012254958089079256
1982,"Women","Canada","CAN",0.04398648593254275,0.032540581379446716,0.05720788074861376,0.09787781975078104,0.08229180582048466,0.11464093591419386,0.09568686633759524,0.08070181118312712,0.11166719568473572,0.5229946621593919,0.4953506778378039,0.550843658646013,0.239454163819689,0.21426752679969255,0.2650981792428958,0.07093033478168029,0.05720191590715972,0.08685279022446757,0.01869535992426887,0.013332071525811949,0.025337601182917165,0.00825212504483187,0.004830776380218316,0.012795616053646142
1983,"Women","Canada","CAN",0.04271095580742293,0.032268143297298296,0.05501428892282962,0.10322315206326804,0.08827129794253913,0.11947457565530956,0.09329110049394554,0.07958610687378276,0.10786492309016901,0.5177568981201645,0.49154645685943144,0.5434066620644146,0.24301789151519906,0.2195354485562483,0.26670202318082287,0.07437592626262883,0.06107755166442679,0.08942933791428578,0.01993806381150888,0.014631483053961024,0.026428045157374503,0.008909161989130325,0.005510970632391244,0.013294564879468639
1984,"Women","Canada","CAN",0.041458387830336105,0.03166739618222332,0.05299430875004985,0.10875967564921915,0.09433270861230479,0.12447477777865784,0.0909401064165267,0.07824984116125445,0.10434030931933391,0.5123248421789168,0.48747242304377336,0.5365013861757782,0.24651698592500118,0.22409488719144016,0.2690043989348478,0.0778946251067503,0.06491850411002888,0.09232827843584274,0.021253538289866977,0.015931308806283694,0.027482450278976122,0.009611512252601876,0.006199253777827069,0.013981348300295824
1985,"Women","Canada","CAN",0.04022738094025101,0.031158984855104405,0.05103488455664678,0.11443915760477424,0.10011657784399461,0.12964895381061298,0.08864171697762233,0.07675966454465437,0.10131716588400855,0.5067432898436073,0.4831915367144993,0.5300162244670447,0.2499484526337451,0.2280555234799022,0.27149491164374845,0.08144552004914346,0.06882959736462545,0.09554549775222151,0.02263639226136934,0.01739339658338592,0.02887987199333368,0.010357245294261453,0.0068748570588705645,0.014753466928750094
1986,"Women","Canada","CAN",0.03901884452699183,0.03044239138786303,0.04901169517590133,0.12024651612379418,0.10597415424357733,0.1353051595321852,0.08640983617278614,0.0752387573981171,0.09843172753885299,0.5010384780231064,0.4784335016229826,0.523363357516206,0.2532863231533214,0.23220918196952314,0.27385872208764933,0.0850193757179412,0.07260320974126751,0.09888887960162547,0.024083501441658307,0.018804095440820203,0.030324177853042044,0.01114363896419469,0.007581449775109531,0.01558385759860714
1987,"Women","Canada","CAN",0.037824085201147564,0.02983016874140842,0.04714082953654244,0.12616620305446077,0.11187398696311365,0.14089785427539048,0.08422842377741153,0.07358700794402226,0.09559577606780927,0.4952585686967311,0.4730828722563084,0.517109573653507,0.25652271727024895,0.23617537418681478,0.27674441646670495,0.08860586898069188,0.07622268070411722,0.10226237377054277,0.02559377977091166,0.02025076458655628,0.03186440444954016,0.011966554302857242,0.008316816583455351,0.016432526610764553
1988,"Women","Canada","CAN",0.036661109659076964,0.0290132013823136,0.04553265404306172,0.13219254683637383,0.1178596456715043,0.1471722307571025,0.08210615596376818,0.07179238746925462,0.09322079211422872,0.489363115373575,0.467951305377275,0.5105765391174365,0.25967707016720604,0.2397582251265652,0.27999860071922295,0.09220155756356921,0.07972480654498827,0.10588705931732997,0.027161449531684884,0.021695622841984757,0.03348074262821816,0.012829539741119727,0.009140340837400372,0.017354058502716294
1989,"Women","Canada","CAN",0.03551993934984996,0.02820648909022494,0.0438637355063293,0.1383148797806068,0.12404486662990191,0.15313759421011866,0.08003100450606819,0.07006095849272725,0.09079433063073691,0.48336816405430016,0.46212710388972394,0.5044726154713007,0.26276601030917485,0.2430035483794115,0.2829712898418466,0.09579946439459229,0.08339408220218453,0.1097140533183682,0.02878517020222766,0.023140319435321986,0.03517681399151216,0.01373024518378685,0.00995540607475936,0.01828477676481173
