"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","France","FRA",0.05695588498914047,0.027670858637021557,0.09691276088346248,0.11259416098588979,0.07810434183445904,0.15549591395894174,0.11231702844909011,0.07212251173027649,0.15942471286837828,0.4836771096252401,0.41085793659730996,0.55028328825856,0.23445581395063958,0.18251383499939527,0.29377758495492046,0.07695200942482044,0.04618043722219233,0.11684361242386147,0.02898932500809571,0.014652423438617477,0.049181596522723796,0.006652826552973621,0.0021065097880312916,0.014729192738273328
1981,"Women","France","FRA",0.056564635453375624,0.02900337225004491,0.09392280630938592,0.11258959862050584,0.08006471857863015,0.15206921551904032,0.11191717972293398,0.0741846755755749,0.15584997895291036,0.4848048837248528,0.4176595550747201,0.5477943447829223,0.23412370047833173,0.18589232565909833,0.28975041934453033,0.07708000882926047,0.047941785553976504,0.11414652843000397,0.028806966567432247,0.01528532117229505,0.0477257956203542,0.006702623223813137,0.0023349274997613305,0.014170919663841588
1982,"Women","France","FRA",0.05619102605689172,0.03008981804623316,0.09070880655754612,0.11263141618494886,0.08213021560110939,0.1494988603016609,0.1115334316600915,0.07590533180952268,0.1524693921999036,0.48586282081581156,0.4230653647983912,0.5451823221490497,0.23378130328225638,0.1883558055167938,0.28481350045786274,0.07722449256265508,0.05002753535597164,0.1115147425157593,0.028644841939492672,0.0159163893969678,0.045870403628803166,0.006762081682801107,0.0025729727694667965,0.01355155630770472
1983,"Women","France","FRA",0.05583853208454365,0.031010914255970065,0.0880668086870092,0.11270384121281994,0.08397682758814477,0.14723384747575488,0.11117164919497881,0.07786704806045701,0.14912901183963462,0.4868691899679536,0.4286204840717559,0.5417149538990083,0.23341678553970405,0.1906051119557444,0.28092123025407806,0.07736742861849213,0.051688651954121714,0.10908877062323868,0.028504404366951664,0.016477802148387455,0.04456092361161052,0.006832008227376145,0.002781740366511964,0.013148257629617665
1984,"Women","France","FRA",0.05550345304379776,0.03211014157352795,0.08565987248304258,0.11278295901325466,0.08529906391504732,0.14520546961131275,0.11083252979835308,0.07977308811597614,0.14633869676542285,0.4878385377533444,0.4340040570229714,0.5377610889739163,0.23304251839125004,0.1929516891317161,0.27717986012791923,0.07749640754570288,0.05317042111604096,0.10704215860094714,0.028374695931910127,0.017050461809798127,0.04314326050061334,0.006911855535641664,0.0030464129102243057,0.012821604718074898
1985,"Women","France","FRA",0.05519526441131963,0.03297733402920636,0.08359330455909535,0.11284290555424176,0.0868082255528914,0.14334634861668583,0.11051914890430586,0.08126403524899561,0.1431035291015643,0.48878610509954645,0.43887207232385916,0.5353674316702646,0.23265657403058623,0.19510094941247527,0.2741353824860888,0.07759222810769835,0.05467672752329609,0.10486120260095755,0.02825022432573583,0.01759927996168048,0.04173791740820664,0.007000453120807591,0.0032721538211495623,0.012516310074826582
1986,"Women","France","FRA",0.05489469671243546,0.03374690012214734,0.08160945375087775,0.11291794364720717,0.08831538061909,0.14124342362307973,0.11020694415535204,0.08297974309959985,0.1403377981105582,0.48971755401872974,0.4438590852023313,0.5329644191627018,0.2322628594662756,0.19691347544391363,0.2711315133538103,0.07767949940914191,0.05599561160744781,0.1032851671616337,0.028137926751089906,0.018058338337345672,0.040713453731130646,0.007100517486975349,0.003530372845027583,0.012281783447000367
1987,"Women","France","FRA",0.05461142153045778,0.034532261016028395,0.0795220879697784,0.11301845457486641,0.08990191670681766,0.13912230802489048,0.10988901864806419,0.08433441894847168,0.1380991570918602,0.490602165075672,0.44810051165129067,0.53130682135077,0.23187893817093966,0.1988944103632007,0.26804761299248503,0.07776723521467603,0.0572551820365456,0.10146695088862194,0.02803919741096678,0.018572733642298455,0.03972680404534528,0.007212021949223589,0.0038126040011460466,0.012112230446198404
1988,"Women","France","FRA",0.05433302374815534,0.03553122156018063,0.07756995829236997,0.11318374230556422,0.09122017639548717,0.13727650025425295,0.10953946168580703,0.08521315989209402,0.13593436445597296,0.4914187636492234,0.4516188925198657,0.5295859804121377,0.23152500661125003,0.20010110473658782,0.2655273098785793,0.07788562516045992,0.0582949248794558,0.09998884995606018,0.027959108619929257,0.019089775683102196,0.03907224802110609,0.007339008525175036,0.004067859421542802,0.011921357361229474
1989,"Women","France","FRA",0.05404994521561331,0.0359651073092821,0.07604622122916965,0.11345339316352417,0.09283391248168185,0.13651973195693348,0.10914811740832653,0.08598186060742918,0.13411533978329468,0.4921244040717483,0.4547207617588709,0.5286168723730422,0.23122413814078768,0.2014199927696716,0.2629550072059672,0.07806474242168017,0.05935093083271409,0.09901929558732298,0.02790380937545584,0.019464196112972506,0.038205522945040565,0.007484841366388175,0.004309167380941182,0.011852847842517182
1990,"Women","France","FRA",0.053748990154808315,0.03665275899413037,0.07459980830434985,0.11382660811299936,0.09450489820000058,0.13546792956013656,0.1087298950196701,0.08663875045648885,0.13263604587898103,0.4927001084822791,0.4574952566793565,0.5270391240066337,0.2309943962302432,0.20249327256095642,0.2610227035487973,0.07830268722502996,0.060569639110032256,0.09796102870546594,0.02787437979971216,0.01980888187989749,0.03760157562889627,0.0076495410882572255,0.004555357869346249,0.011889427086879088
1991,"Women","France","FRA",0.05343411925230149,0.03719418922321767,0.07328605169166523,0.11432999836625884,0.09576759296923322,0.13461312643225026,0.10828140505247667,0.08702621171864883,0.13112547201863223,0.4931216572697317,0.4600514672542287,0.525809526797212,0.23083281805923123,0.20330836420435683,0.25946962211295815,0.07862023454057171,0.06151185804312191,0.09722327662640148,0.0278754751135486,0.020058807611633173,0.03701694272863269,0.007834288712138532,0.004804336599914814,0.01196761772931798
1992,"Women","France","FRA",0.053113782452365144,0.03765971397381004,0.0720056846083125,0.11495154095516369,0.09709812999521163,0.1345852783152541,0.10780633349618007,0.087622008339972,0.1293194591193372,0.4933830160063153,0.46179267594013157,0.5250090874176389,0.23074532508997575,0.204480644229594,0.2577418636078344,0.07900413068700744,0.06272435068092652,0.09695355301882996,0.027912148904483174,0.020343311742427036,0.03661311754970508,0.008035261363673076,0.0050372811310452825,0.011992068105231835
