"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1980,"Women","United States of America","USA",0.051661672142486806,0.039218289979513,0.0662730172708523,0.13913877179316095,0.12025279840882376,0.15915467028690242,0.10479604862755273,0.08979734606387363,0.12164307139758337,0.475620988355624,0.4479646032128271,0.5035422861837252,0.22878251708117545,0.20493681860405985,0.25329227787128844,0.09056573153681838,0.07432660122684145,0.10850292607646175,0.03153868491066706,0.023699908901605712,0.040806452009683365,0.017034355345675503,0.01133877384093852,0.024359680877215743
1981,"Women","United States of America","USA",0.049340191720723243,0.03815686867213365,0.06226104740519535,0.14577721237288685,0.1279448170067081,0.16459794748826317,0.10185947352159859,0.08809723844637492,0.11688787618636741,0.4712149508648215,0.4455054368236432,0.49665820650669623,0.23180816951996985,0.2097979556894484,0.25425927216801186,0.09420263475005941,0.07891832984181657,0.11105824186321382,0.03344923147801864,0.025838110614039934,0.0422329542610958,0.018125346144808815,0.012641426547327164,0.025038652589590846
1982,"Women","United States of America","USA",0.04709057902173327,0.03711409439947899,0.0585655463729614,0.15265840078036133,0.13571457263878647,0.17054543040626033,0.09895340863479855,0.08637503182853548,0.11264153632423116,0.4665363896865698,0.4429275717899009,0.4896279184992942,0.23476121987653711,0.21446216212504468,0.2557412517899232,0.09792443296900423,0.08334553663781702,0.11388780800191485,0.0354553906667338,0.027992543470840268,0.04381571353309606,0.01927857714462329,0.013929479047852123,0.025967583360613684
1983,"Women","United States of America","USA",0.04492652206589638,0.035814998914747945,0.055232198621397804,0.15975411422628272,0.14324761682976425,0.17684709075247754,0.09607569827874929,0.08452040922612898,0.108542642384872,0.4615958204942917,0.43969739284490855,0.48305809167240954,0.23764784293477992,0.21835920247203336,0.2574424409627522,0.10171191017073782,0.08779697373358404,0.11678343747428616,0.037550482430358044,0.030157472616379723,0.04547963367158002,0.020491721625186855,0.01524725241597823,0.027033558629644072
1984,"Women","United States of America","USA",0.042846088981689484,0.03456579065789642,0.051986882027884394,0.16702668304383037,0.15114329447839733,0.18340366092657218,0.09324367640510851,0.08221738034105303,0.10496115832697653,0.45645700839175385,0.43549999338399514,0.47657764708413114,0.24042654117761775,0.22247936200880405,0.25915717025854684,0.1055295762059114,0.09206935081058658,0.12012545417740218,0.03973636552598268,0.032425177151562755,0.047381357454188075,0.02176074131193628,0.016557999075264253,0.02834181413855267
1985,"Women","United States of America","USA",0.04083998832820322,0.03325415774138168,0.04910890565593285,0.1744033365950417,0.15893906248543072,0.1902403273471416,0.0904810675753222,0.08021290962243573,0.10142096513377749,0.4511690919076214,0.4312931604291612,0.47036516628578373,0.2431065135938115,0.22597853753544836,0.2607452884589167,0.10932468878703804,0.09637850714395091,0.12326840297238803,0.04199993247562326,0.034781714320612694,0.049448491940358025,0.0230787153323804,0.017991810835238604,0.02944963002906856
1986,"Women","United States of America","USA",0.03891363553117734,0.0319231062397641,0.04645514149355308,0.181882833844174,0.16695483952839577,0.1974020778314615,0.0877647256267359,0.07816021076110814,0.09801109175456192,0.4457493564044677,0.42666932176872263,0.4641225773969024,0.24568944659344502,0.22949551845231103,0.26252414919349537,0.1131055257971449,0.1002655826848081,0.12688325161958156,0.04433313920000219,0.03728910592143352,0.051733450888532345,0.024444168847026885,0.019421847437593703,0.030597363741223446
1987,"Women","United States of America","USA",0.03706435625974976,0.030668158455685005,0.04400103261184327,0.18944571020557785,0.17486824839235696,0.20462145137666476,0.08511393589917728,0.07611108608077087,0.09482015509629192,0.4402247267221947,0.4222691288664425,0.4574536983367321,0.2481512689133004,0.2326184939885641,0.2643112725160823,0.1168570542851606,0.10432112193719298,0.13015469698139231,0.04673726864180555,0.039885060211235786,0.05412034740233553,0.025851387278611682,0.020869583236272346,0.031909497140803676
1988,"Women","United States of America","USA",0.03530685708991276,0.029398024710225693,0.041736093790261206,0.1971046801293281,0.1828478009416068,0.21158799073970924,0.0825236667105813,0.07402544691772983,0.09166116020685781,0.4345553234820251,0.4172312377367917,0.4511560769512972,0.2505094705881527,0.23551285418852777,0.2661251216811475,0.12059541575652641,0.1083843424985397,0.1335913770297066,0.049197180470552555,0.0423914691478266,0.056451640140423406,0.02731208390224914,0.02226571868889607,0.033306083607663864
1989,"Women","United States of America","USA",0.0336469306231353,0.02815525407697602,0.03967291116367509,0.2048690260542661,0.19091974719382002,0.21903102878372047,0.0799934016511111,0.07203874833340806,0.08858709616112287,0.42871386693247954,0.4120595685638014,0.44477753961382116,0.252776772739008,0.23825475222223627,0.26782879094798506,0.12432721726093415,0.1125709692846784,0.13717362761981416,0.051702896043412695,0.044963170278264714,0.058835615511098824,0.028838912749919243,0.023675062084657944,0.03467839799945662
