Entity,Code,Year,Other,Alcoholic beverages,Sugar,Oils and fats,Meat,Dairy and eggs,Fruits and vegetables,Starchy roots,Pulses,Cereals and grains
Canada,CAN,1961,25.043697,99.17304,471.82327,542.9474,318.55582,412.72012,157.27441,132.23073,23.040201,629.09766
Canada,CAN,1962,25.059637,102.243324,497.18323,559.3311,316.7538,398.94943,162.38644,132.31488,18.04294,638.5196
Canada,CAN,1963,23.048199,102.21375,482.008,575.2029,322.67477,398.83408,156.32692,131.27452,21.044008,692.44806
Canada,CAN,1964,23.027771,105.126785,469.56628,567.68463,337.4069,391.4721,157.18958,129.15576,28.033808,591.7136
Canada,CAN,1965,24.004246,105.01858,486.086,572.1012,334.05908,388.06863,160.0283,125.02212,26.0046,702.1242
Canada,CAN,1966,21.980618,119.89428,509.5507,590.4794,341.6987,397.64935,154.86345,134.88107,28.974451,612.45996
Canada,CAN,1967,24.96965,122.85068,498.39423,615.2522,360.56174,392.5229,155.81062,131.83975,15.9805765,624.2413
Canada,CAN,1968,23.9998,118.99901,494.99588,613.9949,359.997,388.99673,156.99869,130.9989,14.999875,623.9948
Canada,CAN,1969,24.052912,125.27558,517.1376,614.35144,359.79147,399.87964,155.34172,136.29984,13.02866,643.41534
Canada,CAN,1970,24.99298,127.96405,510.85648,590.834,375.89438,383.89215,154.95647,132.96265,18.994663,634.82166
Canada,CAN,1971,26.864735,137.30864,505.455,586.0492,383.0712,367.15137,154.22348,125.36876,27.859724,597.9891
Canada,CAN,1972,30.869095,139.40881,503.86328,600.4536,377.39957,365.45023,151.35814,112.52283,20.911322,622.3608
Canada,CAN,1973,28.963636,155.80438,499.37302,606.2389,373.53104,373.531,160.79813,122.845764,13.982445,626.2138
Canada,CAN,1974,27.993761,156.96503,477.8935,620.86163,379.91534,380.91513,163.96346,131.9706,18.995768,614.863
Canada,CAN,1975,27.984299,148.91644,457.74316,602.66187,367.79364,342.80765,174.90187,124.92991,13.992149,617.65344
Canada,CAN,1976,30.972534,138.87685,490.56494,646.4267,391.65268,352.68723,178.8414,128.8857,16.984938,651.4223
Canada,CAN,1977,30.985186,136.93452,488.7663,635.69604,386.81506,362.8265,175.9159,139.93309,13.993309,633.697
Canada,CAN,1978,30.014086,138.06479,473.22208,641.3009,384.1803,326.15305,181.08499,136.06386,22.010328,604.28357
Canada,CAN,1979,26.01698,139.09077,458.29907,639.41724,386.25208,329.21484,189.12341,140.09142,19.012407,604.3944
Canada,CAN,1980,21.979574,137.87187,439.59146,672.3751,394.63327,324.69824,183.82916,126.88208,20.980501,624.4197
Canada,CAN,1981,24.918518,140.54044,439.56265,661.8358,391.71912,321.94727,191.37422,136.55348,30.898962,553.1911
Canada,CAN,1982,23.878603,134.31714,420.86038,647.70715,378.07788,349.22458,194.01364,132.32726,36.812847,627.8083
Canada,CAN,1983,26.846363,130.25458,428.5475,677.1249,383.80356,322.15634,185.93591,125.28303,7.954478,612.4948
Canada,CAN,1984,26.864975,135.31987,454.71457,700.4794,373.12466,316.4097,197.00981,131.33987,6.9649935,636.7994
Canada,CAN,1985,25.9153,130.57324,454.5145,729.61536,387.7328,305.99988,193.36801,132.56673,12.95765,658.8467
Canada,CAN,1986,22.970133,126.83508,475.3819,765.0053,388.49487,301.60785,184.75977,132.8273,35.95325,646.15985
Canada,CAN,1987,22.996609,124.98157,479.92923,754.8887,391.9422,311.95398,201.97021,132.9804,52.992188,663.9021
