Country,Income_group,Year,Area,Age,Males_Overweight,Males_Obesity,Females_Overweight,Females_Obesity,All_Adults_Overweight,All_Adults_Obesity
Afghanistan,Low income,2018,National,18-69,25.9,11.9,25.6,23.5,25.8,17.0
Albania,Upper-middle income,2022,National,16+,51.0,11.3,37.5,13.4,44.2,12.4
Algeria,Upper-middle income,2017,National,18-69,34.20,14.10,33.20,30.10,33.80,21.80
American Samoa,High income,2018,National,18+,,77.10,,82.70,,80.20
Andorra,High income,2018,National,18-75,42.50,13.00,27.00,14.40,35.20,13.60
Angola,Lower-middle income,2024,National,20-49,8.80,2.60,17.90,9.40,13.40,6.00
Anguilla,,2016,National,18-69,36.0,30.4,27.4,46.5,31.7,38.5
Argentina,Upper-middle income,2018,National,18+,38.7,31.4,29.1,33.4,33.7,32.4
Armenia,Upper-middle income,2016,National,18-69,31.4,14.0,25.1,25.0,28.2,19.5
Aruba,High income,2023,National,18-69,35.8,42.8,30.9,48.0,32.9,45.8
Australia,High income,2023,National,18+,38.60,32.50,29.60,30.90,34.00,31.70
Austria,High income,2022,National,18+,42.7,18.7,27.6,16.7,35.0,17.7
Azerbaijan,Upper-middle income,2018,National,18-69,38.80,14.70,30.90,26.50,34.80,20.60
Bahamas,High income,2019,National,18-69,35.2,31.8,25.8,54.8,28.0,43.6
Bahrain,High income,2018,National,18+,38.7,33.0,30.9,42.5,35.5,36.9
Bangladesh,Lower-middle income,2022,National,20+,18.1,1.9,30.0,8.4,,
Barbados,High income,2011,National,25+,34.2,23.4,30.8,43.4,32.4,33.8
Belarus,Upper-middle income,2020,National,18-69,39.4,16.6,28.7,21.2,34.1,18.9
Belgium,High income,2025,National,18+,38.7,17.7,30.6,15.9,34.6,16.8
Belize,Upper-middle income,2017,National,20-55,,31.2,,49.4,,40.9
Benin,Lower-middle income,2015,National,18-69,14.4,4.7,17.0,10.1,15.7,7.4
Bermuda,High income,2014,National,18+,49.60,29.40,29.60,40.00,40.20,34.40
Bhutan,Lower-middle income,2023,National,15-69,33.6,8.6,33.1,16.9,33.3,12.5
Bolivia,Lower-middle income,2019,National,18-69,39.1,20.8,35.1,31.8,37.1,26.2
Bosnia and Herzegovina,Upper-middle income,2012,National,25-64,49.9,20.3,31.9,24.1,40.4,22.3
Botswana,Upper-middle income,2024,National,18-69,19.0,7.5,28.6,31.3,24.9,22.2
