Country,2060_USD,2060_GDP_pct
China,10108bn,3.06%
United States,2622bn,4.62%
India,839bn,2.47%
Korea  Rep.,411bn,3.41%
Indonesia,394bn,4.70%
Germany,251bn,3.52%
Brazil,218bn,4.66%
Japan,198bn,2.18%
Thailand,181bn,6.36%
United Arab Emirates,179bn,11.04%
Canada,162bn,3.74%
United Kingdom,162bn,2.41%
Australia,158bn,3.49%
Saudi Arabia,150bn,5.62%
Mexico,139bn,5.01%
France,133bn,2.39%
Turkey,133bn,3.18%
Russian Federation,128bn,4.57%
Malaysia,105bn,3.98%
Vietnam,103bn,2.81%
Vanuatu,307m,12.06%
United Arab Emirates,179bn,11.04%
Trinidad and Tobago,4.9bn,10.20%
Barbados,864m,9.62%
Kuwait,33bn,9.42%
Mauritius,6.4bn,8.89%
Timor-Leste,416m,8.56%
Qatar,69bn,7.97%
Brunei Darussalam,1.9bn,7.82%
Bahrain,11.1bn,7.40%
Bulgaria,10.2bn,7.08%
Kyrgyz Republic,2.4bn,7.00%
Fiji,1.0bn,6.98%
Azerbaijan,14.9bn,6.66%
Nicaragua,2.9bn,6.64%
Thailand,181bn,6.36%
Libya,10bn,6.24%
Samoa,103m,5.94%
Sri Lanka,25bn,5.90%
Jamaica,1.5bn,5.85%
Ukraine,21bn,5.69%
Montenegro,1.1bn,5.65%
Saudi Arabia,150bn,5.62%
Bosnia and Herzegovina,3.8bn,5.53%
Belize,482m,5.52%
Iran Islamic Rep.,43bn,5.52%
Morocco,25bn,5.45%
Ecuador,16bn,5.42%
Tunisia,7.3bn,5.33%
Tonga,62m,5.28%
Central African Republic,361m,5.24%
North Macedonia,1.9bn,5.24%
Zimbabwe,1.9bn,5.23%
Turkmenistan,22bn,5.17%
Bahamas,1.4bn,5.16%
Albania,3.1bn,5.15%
Mongolia,4.3bn,5.14%
Mexico,139bn,5.01%
